node1,node2,size,edges,biggroup,timestamp
5204,6796,11,16352,2169,1447756945.282586
5204,5795,11,16351,2169,1447757067.430752
6448,6795,11,16350,2169,1447757189.200306
5795,6795,11,16349,2169,1447757311.074883
96,6795,11,16348,2169,1447757433.068748
470,6796,11,16347,2169,1447757555.016827
4657,5204,11,16346,2169,1447757676.887692
469,6221,11,16345,2169,1447757798.604463
522,1893,11,16344,2169,1447757920.410710
1512,6281,11,16343,2169,1447758041.984112
6607,6871,11,16342,2169,1447758163.478968
5102,6038,11,16341,2169,1447758285.188490
1056,1179,11,16340,2169,1447758406.628655
4855,6557,11,16339,2169,1447758528.073541
4923,7091,11,16338,2169,1447758649.475670
5954,6458,12,16337,1612,1447758750.569261
3274,5954,12,16336,1612,1447758851.803543
2398,3274,12,16335,1612,1447758952.944602
1699,3274,12,16334,1612,1447759054.178043
3274,6458,12,16333,1612,1447759155.460175
5756,5954,12,16332,1612,1447759256.521798
120,2398,12,16331,1612,1447759357.891049
3489,3500,12,16330,1612,1447759459.187098
645,2233,12,16329,1612,1447759560.386582
2545,6788,12,16328,1612,1447759661.735736
2232,2233,12,16327,1612,1447759763.255521
429,6879,12,16326,1612,1447759864.394317
3877,6927,12,16325,1612,1447759965.642444
2334,2563,12,16324,1612,1447760066.970802
2662,7126,12,16323,1612,1447760168.469388
2559,2561,12,16322,1612,1447760269.470244
1740,2212,12,16321,1612,1447760370.843986
4974,5930,12,16320,1612,1447760471.948663
1671,7037,12,16319,1612,1447760573.019833
2236,5057,12,16318,1612,1447760674.302013
1686,6998,12,16317,1612,1447760775.542030
1073,5951,12,16316,1612,1447760876.547145
3489,7130,12,16315,1612,1447760977.996633
5755,6996,12,16314,1612,1447761079.086378
5755,6601,12,16313,1612,1447761180.433103
20,1028,12,16312,1612,1447761281.689486
6026,6028,12,16311,1612,1447761383.410748
3134,6599,12,16310,1612,1447761484.672202
1399,1684,12,16309,1612,1447761586.020355
2407,3428,12,16308,1612,1447761687.306575
20,2407,12,16307,1612,1447761788.513113
2984,5367,12,16306,1612,1447761889.760576
1032,7286,12,16305,1612,1447761991.053163
1033,2038,12,16304,1612,1447762092.241899
6026,6993,12,16303,1612,1447762193.735050
1399,3134,12,16302,1612,1447762295.040700
237,2865,12,16301,1612,1447762396.144025
2864,6881,12,16300,1612,1447762497.321126
2864,2997,12,16299,1612,1447762598.534803
3919,5372,12,16298,1612,1447762699.699592
811,2864,12,16297,1612,1447762800.825036
128,7053,12,16296,1612,1447762901.923796
854,7226,12,16295,1612,1447763002.862545
2765,3316,12,16294,1612,1447763104.300747
2974,6724,12,16293,1612,1447763206.167251
2099,4083,12,16292,1612,1447763307.569717
2926,4367,12,16291,1612,1447763408.496582
1129,4230,12,16290,1612,1447763509.261091
2561,3305,12,16289,1612,1447763610.162802
2272,2335,12,16288,1612,1447763711.336449
2336,3382,12,16287,1612,1447763812.080250
2855,3382,12,16286,1612,1447763913.103955
747,2855,12,16285,1612,1447764014.300882
769,3545,12,16284,1612,1447764115.322423
1221,2317,12,16283,1612,1447764216.609948
2318,3605,12,16282,1612,1447764318.101207
2695,6913,12,16281,1612,1447764419.208779
3380,3545,12,16280,1612,1447764520.286811
2362,2885,12,16279,1612,1447764621.466014
2288,2289,12,16278,1612,1447764722.527447
1805,7226,12,16277,1612,1447764823.734284
6505,6506,12,16276,1612,1447764924.987434
5983,6964,12,16275,1612,1447765025.994273
2119,6507,12,16274,1612,1447765126.977602
2542,2543,12,16273,1612,1447765228.200022
995,1671,12,16272,1612,1447765329.313921
207,4473,12,16271,1612,1447765430.223549
2544,5570,12,16270,1612,1447765531.342586
995,4473,12,16269,1612,1447765632.324761
2067,2068,12,16268,1612,1447765733.227983
4786,5568,12,16267,1612,1447765834.432081
4786,6105,12,16266,1612,1447765935.397453
207,1671,12,16265,1612,1447766036.378037
7038,7039,12,16264,1612,1447766137.941551
855,2954,12,16263,1612,1447766239.209561
1854,2879,12,16262,1612,1447766340.369249
2877,7114,12,16261,1612,1447766441.564880
5219,5390,12,16260,1612,1447766542.676118
