(source, target),num_edges,timestamp
(4766, 4105),16424,1447752439.076669
(4765, 4106),16423,1447752439.450707
(34, 4883),16422,1447752439.853800
(6818, 3170),16421,1447752440.281092
(4765, 77),16420,1447752440.652544
(1076, 34),16419,1447752441.021630
(1076, 31),16418,1447752441.395633
(5779, 1401),16417,1447752441.775036
(5779, 4782),16416,1447752442.148052
(4782, 3228),16415,1447752442.589645
(4858, 7073),16414,1447752442.977502
(6686, 5968),16413,1447752443.342755
(5969, 5968),16412,1447752443.717420
(6934, 5968),16411,1447752444.111452
(6933, 6934),16410,1447752444.467876
(2581, 5969),16409,1447752444.886243
(7074, 2581),16408,1447752445.256423
(5916, 5915),16407,1447752445.641973
(6895, 4437),16406,1447752446.032834
(4549, 1141),16405,1447752446.414439
(5209, 4197),16404,1447752446.779148
(4581, 4030),16403,1447752447.207891
(4205, 5212),16402,1447752447.585007
(3213, 4580),16401,1447752447.957135
(3212, 5211),16400,1447752448.335468
(6669, 5210),16399,1447752448.712722
(4579, 6669),16398,1447752449.094501
(4204, 6669),16397,1447752449.521226
(5276, 4204),16396,1447752449.888091
(5276, 4579),16395,1447752450.257479
(5210, 3212),16394,1447752450.643170
(3212, 4579),16393,1447752451.001083
(4579, 3104),16392,1447752451.427481
(3630, 3288),16391,1447752451.812771
(6723, 6727),16390,1447752452.202199
(6725, 1935),16389,1447752452.566871
(2977, 1938),16388,1447752452.955964
(6840, 6723),16387,1447752453.311649
(6839, 2974),16386,1447752453.716822
(2977, 2975),16385,1447752454.092950
(6724, 929),16384,1447752454.458625
(2978, 6841),16383,1447752454.828362
(1424, 809),16382,1447752455.214151
(1934, 930),16381,1447752455.579866
(5031, 1533),16380,1447752456.021838
(4969, 1533),16379,1447752456.390192
(2697, 1022),16378,1447752456.776344
(4967, 1022),16377,1447752457.194815
(4969, 575),16376,1447752457.566551
(4967, 4906),16375,1447752457.951102
(4398, 1022),16374,1447752458.402143
(4906, 4398),16373,1447752458.763152
(4966, 4398),16372,1447752459.150270
(6415, 5817),16371,1447752459.536105
(6414, 6953),16370,1447752459.902726
(3986, 1273),16369,1447752460.267979
(6414, 3012),16368,1447752460.718258
(3012, 171),16367,1447752461.085462
(171, 3013),16366,1447752461.465790
(171, 104),16365,1447752461.826942
(173, 3013),16364,1447752462.205723
(6952, 173),16363,1447752462.622003
(6952, 105),16362,1447752462.992280
(6656, 105),16361,1447752463.382792
(3012, 106),16360,1447752463.740962
(931, 1804),16359,1447752464.119242
(2866, 852),16358,1447752464.505149
(2866, 4703),16357,1447752464.949670
(2923, 1211),16356,1447752465.334596
(2350, 2099),16355,1447752465.709837
(2350, 1212),16354,1447752466.102425
(3917, 2100),16353,1447752466.459564
(1212, 3917),16352,1447752466.848208
(3722, 1212),16351,1447752467.287027
(2351, 1212),16350,1447752467.666217
(853, 7053),16349,1447752468.053787
(6813, 5643),16348,1447752468.422533
(5413, 5643),16347,1447752468.780901
(4191, 5413),16346,1447752469.161905
(3419, 4191),16345,1447752469.576073
(5411, 3419),16344,1447752469.950573
(3035, 3419),16343,1447752470.327840
(3417, 4670),16342,1447752470.697369
(3417, 3035),16341,1447752471.067023
(3081, 7231),16340,1447752471.510200
(7126, 2328),16339,1447752471.885320
(5444, 4557),16338,1447752472.256140
(4950, 1082),16337,1447752472.627812
(6435, 3045),16336,1447752472.993671
(4556, 4443),16335,1447752473.380266
(6902, 4556),16334,1447752473.808753
(4557, 1150),16333,1447752474.162876
(2104, 2168),16332,1447752474.537808
(3326, 2283),16331,1447752474.902076
(3328, 2283),16330,1447752475.281351
(6107, 3399),16329,1447752475.646725
(3328, 3399),16328,1447752476.078787
(6107, 2794),16327,1447752476.461803
(2167, 2794),16326,1447752476.857080
(2794, 2104),16325,1447752477.248277
(2104, 1709),16324,1447752477.625634
(199, 6074),16323,1447752477.995760
(6074, 1086),16322,1447752478.432659
(3231, 3227),16321,1447752478.799826
(3569, 581),16320,1447752479.169103
(3232, 3231),16319,1447752479.519319
(3093, 6759),16318,1447752479.904328
(1966, 667),16317,1447752480.301571
(3093, 2660),16316,1447752480.726828
(5830, 6695),16315,1447752481.104092
(2135, 5830),16314,1447752481.481400
(3093, 2135),16313,1447752481.836230
(6695, 1659),16312,1447752482.191184
(1203, 2044),16311,1447752482.628723
(731, 1095),16310,1447752482.990607
(5082, 731),16309,1447752483.364190
(6774, 4353),16308,1447752483.764552
(5082, 6774),16307,1447752484.129160
(4353, 2606),16306,1447752484.501605
(2729, 2606),16305,1447752484.922380
(2729, 1086),16304,1447752485.293782
(731, 199),16303,1447752485.659686
(0, 2729),16302,1447752486.042362
(6339, 0),16301,1447752486.390440
(1300, 3838),16300,1447752486.759863
(1300, 679),16299,1447752487.200445
(5818, 6012),16298,1447752487.584417
(2669, 5818),16297,1447752487.937682
(133, 2670),16296,1447752488.297507
(6016, 5535),16295,1447752488.654898
(5816, 2671),16294,1447752489.019607
(2671, 133),16293,1447752489.441744
(5819, 133),16292,1447752489.812139
(5816, 2089),16291,1447752490.191683
(5733, 2669),16290,1447752490.576578
(5819, 5733),16289,1447752490.967900
(6589, 2669),16288,1447752491.397246
(6589, 5294),16287,1447752491.774208
(5892, 4769),16286,1447752492.142868
(3208, 5280),16285,1447752492.538460
(3208, 2760),16284,1447752492.911900
(3208, 1102),16283,1447752493.295516
(1102, 141),16282,1447752493.724706
(3095, 141),16281,1447752494.086874
(4133, 3095),16280,1447752494.437307
(5257, 4662),16279,1447752494.799134
(6230, 397),16278,1447752495.172187
(3829, 397),16277,1447752495.532902
(3974, 2873),16276,1447752495.964719
(5217, 6675),16275,1447752496.356784
(5219, 4208),16274,1447752496.736358
(6733, 6498),16273,1447752497.115623
(5713, 5389),16272,1447752497.479835
(3707, 5218),16271,1447752497.867308
(5713, 5162),16270,1447752498.302450
(6498, 5713),16269,1447752498.682353
(5162, 5163),16268,1447752499.078731
(4033, 5217),16267,1447752499.443922
(1331, 6088),16266,1447752499.800911
(3706, 4208),16265,1447752500.163972
(5217, 1331),16264,1447752500.593848
(4208, 1331),16263,1447752500.968103
(5217, 4211),16262,1447752501.338206
(4211, 4208),16261,1447752501.731823
(2565, 2403),16260,1447752502.094958
(2094, 1247),16259,1447752502.519327
(2565, 2094),16258,1447752502.892242
(3364, 6783),16257,1447752503.272219
(1909, 6754),16256,1447752503.619495
(957, 6754),16255,1447752504.006150
(6754, 622),16254,1447752504.367615
(6754, 2010),16253,1447752504.786989
(3999, 1908),16252,1447752505.134077
(2010, 410),16251,1447752505.505899
(5122, 410),16250,1447752505.864202
(2971, 2453),16249,1447752506.222563
(6717, 2453),16248,1447752506.597304
(6717, 1025),16247,1447752507.028703
(2969, 1025),16246,1447752507.401089
(5146, 6380),16245,1447752507.808547
(6380, 1025),16244,1447752508.181819
(6760, 2661),16243,1447752508.537563
(2081, 2371),16242,1447752508.903656
(2326, 2081),16241,1447752509.329130
(2269, 4135),16240,1447752509.689069
(6760, 266),16239,1447752510.074219
(4135, 3871),16238,1447752510.457166
(3350, 2327),16237,1447752510.803631
(3350, 2326),16236,1447752511.191525
(6760, 2326),16235,1447752511.633316
(2326, 2373),16234,1447752512.010799
(4764, 2938),16233,1447752512.383577
(4764, 4113),16232,1447752512.746694
(4168, 3551),16231,1447752513.114683
(4168, 2938),16230,1447752513.514269
(3551, 953),16229,1447752513.895915
(5178, 4767),16228,1447752514.264945
(4886, 4763),16227,1447752514.631351
(4764, 4763),16226,1447752514.994336
(5950, 3850),16225,1447752515.366703
(1750, 5950),16224,1447752515.796494
(2274, 3587),16223,1447752516.171727
(3587, 2808),16222,1447752516.534915
(4068, 4070),16221,1447752516.912543
(6603, 4068),16220,1447752517.296737
(5950, 1746),16219,1447752517.657538
(5758, 3342),16218,1447752518.074855
(4824, 3342),16217,1447752518.446560
(4824, 3851),16216,1447752518.845283
(2623, 1753),16215,1447752519.223636
(1129, 6261),16214,1447752519.584052
(6810, 4230),16213,1447752519.941483
(6810, 1129),16212,1447752520.359566
(5988, 3710),16211,1447752520.726507
(6804, 5734),16210,1447752521.095084
(5734, 1129),16209,1447752521.463569
(7173, 1761),16208,1447752521.830523
(6803, 1129),16207,1447752522.249190
(6803, 5058),16206,1447752522.598363
(4285, 7173),16205,1447752522.956908
(4521, 4285),16204,1447752523.340426
(6803, 1066),16203,1447752523.728396
(7292, 4652),16202,1447752524.097959
(1607, 7292),16201,1447752524.535275
(4652, 963),16200,1447752524.911874
(4652, 1606),16199,1447752525.285268
(1607, 1606),16198,1447752525.661174
(1303, 3974),16197,1447752526.030942
(3974, 867),16196,1447752526.385295
(2588, 867),16195,1447752526.805795
(2588, 1378),16194,1447752527.176874
(2598, 5326),16193,1447752527.538772
(5369, 4127),16192,1447752527.893694
(7250, 5424),16191,1447752528.268810
(5424, 1538),16190,1447752528.655483
(5422, 1035),16189,1447752529.068908
(3428, 5369),16188,1447752529.432535
(7303, 2407),16187,1447752529.807283
(5422, 2407),16186,1447752530.174005
(1028, 20),16185,1447752530.554564
(5323, 2110),16184,1447752530.920038
(5481, 2384),16183,1447752531.321267
(6354, 5481),16182,1447752531.703924
(3735, 683),16181,1447752532.069171
(5481, 3735),16180,1447752532.441939
(1928, 1419),16179,1447752532.819048
(3658, 1419),16178,1447752533.258845
(926, 1419),16177,1447752533.631354
(6381, 926),16176,1447752533.991699
(2971, 926),16175,1447752534.369657
(3658, 2971),16174,1447752534.739370
(5905, 398),16173,1447752535.109982
(5017, 2786),16172,1447752535.532745
(3728, 4296),16171,1447752535.896444
(4427, 4296),16170,1447752536.259125
(183, 7055),16169,1447752536.638004
(2285, 2171),16168,1447752537.006111
(2111, 2170),16167,1447752537.366597
(6854, 2170),16166,1447752537.805992
(4309, 2170),16165,1447752538.190651
(6854, 2171),16164,1447752538.595857
(4309, 3971),16163,1447752538.954503
(4310, 3971),16162,1447752539.321929
(180, 4064),16161,1447752539.692033
(6962, 211),16160,1447752540.097368
(6512, 210),16159,1447752540.485977
(6511, 6510),16158,1447752540.845141
(179, 7231),16157,1447752541.204789
(7231, 112),16156,1447752541.556797
(6420, 4064),16155,1447752541.975052
(7231, 6457),16154,1447752542.329496
(6457, 4064),16153,1447752542.695704
(5348, 4772),16152,1447752543.087330
(4772, 2941),16151,1447752543.434302
(5180, 2941),16150,1447752543.807926
(4240, 5180),16149,1447752544.243632
(6827, 4240),16148,1447752544.606022
(6598, 1571),16147,1447752544.975402
(6827, 1571),16146,1447752545.359105
(4769, 572),16145,1447752545.720242
(5350, 4244),16144,1447752546.105269
(4769, 4244),16143,1447752546.509565
(3067, 572),16142,1447752546.879783
(4243, 1065),16141,1447752547.236220
(4243, 572),16140,1447752547.629576
(3455, 7076),16139,1447752548.005243
(7010, 6406),16138,1447752548.363026
(6941, 7010),16137,1447752548.787252
(7076, 7010),16136,1447752549.131523
(7077, 3612),16135,1447752549.512819
(7010, 3612),16134,1447752549.893163
(3612, 2158),16133,1447752550.261613
(7010, 1108),16132,1447752550.628517
(6984, 1108),16131,1447752551.041236
(6368, 629),16130,1447752551.454177
(6140, 3453),16129,1447752551.817076
(6134, 5590),16128,1447752552.195469
(6133, 5589),16127,1447752552.562418
(6080, 5086),16126,1447752552.993083
(1182, 755),16125,1447752553.352553
(725, 6490),16124,1447752553.712318
(6490, 2710),16123,1447752554.054794
(5737, 2710),16122,1447752554.441538
(3480, 725),16121,1447752554.797419
(4421, 3480),16120,1447752555.222106
(5301, 6020),16119,1447752555.609869
(6019, 6590),16118,1447752555.975942
(1251, 5542),16117,1447752556.340174
(6538, 1252),16116,1447752556.717526
(4820, 1251),16115,1447752557.101731
(5301, 2675),16114,1447752557.522401
(1250, 6539),16113,1447752557.884881
(6539, 2675),16112,1447752558.257227
(6539, 4820),16111,1447752558.611491
(1252, 6019),16110,1447752558.995245
(4384, 7267),16109,1447752559.365401
(6264, 5150),16108,1447752559.759810
(578, 5150),16107,1447752560.139650
(6149, 5517),16106,1447752560.514895
(4157, 6150),16105,1447752560.891825
(4403, 578),16104,1447752561.268582
(4157, 578),16103,1447752561.645360
(5668, 4157),16102,1447752562.060188
(4528, 243),16101,1447752562.445068
(5668, 243),16100,1447752562.809305
(5668, 5149),16099,1447752563.186237
(5516, 5149),16098,1447752563.578003
(3685, 4155),16097,1447752563.929339
(5168, 4155),16096,1447752564.339720
(4155, 259),16095,1447752564.724683
(6089, 259),16094,1447752565.106426
(5166, 4984),16093,1447752565.485366
(6089, 3315),16092,1447752565.859106
(5166, 3315),16091,1447752566.214025
(5164, 4984),16090,1447752566.669643
(7026, 4984),16089,1447752567.034995
(6620, 6397),16088,1447752567.388823
(6620, 5606),16087,1447752567.767472
(6397, 3076),16086,1447752568.177472
(3076, 5610),16085,1447752568.556128
(6619, 5606),16084,1447752568.969214
(6619, 4998),16083,1447752569.327916
(6100, 708),16082,1447752569.687848
(5343, 6807),16081,1447752570.062514
(6807, 5788),16080,1447752570.424653
(1506, 6807),16079,1447752570.788034
(5989, 3194),16078,1447752571.201230
(643, 5343),16077,1447752571.578296
(4225, 1127),16076,1447752571.950498
(1127, 643),16075,1447752572.320837
(4222, 1127),16074,1447752572.681393
(4221, 1127),16073,1447752573.042380
(3786, 1127),16072,1447752573.467239
(3946, 3786),16071,1447752573.845186
(2563, 4221),16070,1447752574.209453
(4279, 4221),16069,1447752574.579695
(4279, 3786),16068,1447752574.945916
(1872, 313),16067,1447752575.295325
(6141, 4869),16066,1447752575.713686
(6141, 1545),16065,1447752576.076423
(792, 313),16064,1447752576.453934
(4688, 1546),16063,1447752576.813245
(1545, 1875),16062,1447752577.174590
